,0,1,2,id,status_group
0,0.502135470335,0.0612107049555,0.43665382471,50785,functional
1,0.654295949923,0.160389043651,0.185315006426,51630,functional
2,0.548115463925,0.0627575651357,0.389126970939,17168,functional
3,0.0175724553225,0.00426423021423,0.978163314463,45559,non functional
4,0.827319393979,0.0639535434638,0.108727062557,49871,functional
5,0.5407218394,0.0891162101916,0.370161950408,52449,functional
6,0.551506410527,0.0164549959844,0.432038593489,24806,functional
7,0.0774966864061,0.0414525604169,0.881050753177,28965,non functional
8,0.278267156663,0.0999251748664,0.62180766847,36301,non functional
9,0.904872236913,0.0319245897893,0.0632031732973,54122,functional
10,0.722342274397,0.0221223631924,0.25553536241,419,functional
11,0.13837803392,0.027183808632,0.834438157448,45750,non functional
12,0.145994559838,0.018547662525,0.835457777637,653,non functional
13,0.412123208962,0.0138936373224,0.573983153715,14017,non functional
14,0.857756194253,0.0387880126667,0.10345579308,44607,functional
15,0.727183015455,0.128113552632,0.144703431914,40228,functional
16,0.584746060449,0.132302340582,0.282951598969,27714,functional
17,0.664231687992,0.0389443035637,0.296824008444,28785,functional
18,0.559096321978,0.265231686578,0.175671991444,28330,functional
19,0.247511587363,0.0902800845697,0.662208328067,18532,non functional
20,0.63970668536,0.042571011943,0.317722302697,69961,functional
21,0.571052770651,0.0844168321545,0.344530397194,55083,functional
22,0.0881416899922,0.0266416125842,0.885216697424,8691,non functional
23,0.0394288535839,0.00860564207035,0.951965504346,30331,non functional
24,0.737856232364,0.0929685675642,0.169175200072,70970,functional
25,0.773824441626,0.0416569595523,0.184518598822,61136,functional
26,0.218941357121,0.0461384336166,0.734920209263,28799,non functional
27,0.134871235241,0.0506244599999,0.81450430476,46825,non functional
28,0.314990100242,0.622437897637,0.0625720021207,44718,functional needs repair
29,0.609480256783,0.157526259465,0.232993483752,37350,functional
30,0.842925638826,0.021625315242,0.135449045932,65738,functional
31,0.217798598563,0.0238454681508,0.758355933286,3271,non functional
32,0.534055729422,0.0254759034653,0.440468367112,42658,functional
33,0.876448102731,0.0280055053907,0.0955463918778,67523,functional
34,0.645906678345,0.1617776004,0.192315721254,37034,functional
35,0.71921033666,0.153349183311,0.127440480028,42432,functional
36,0.648617883472,0.0461938417818,0.305188274747,27420,functional
37,0.593098634541,0.151221928698,0.255679436761,707,functional
38,0.372072889244,0.120329689067,0.507597421689,48489,non functional
39,0.235373447779,0.0355978535654,0.729028698656,51008,non functional
40,0.565610430014,0.0425168889074,0.391872681079,72562,functional
41,0.575621121766,0.0322357262706,0.392143151963,10275,functional
42,0.172714439429,0.0230244568727,0.804261103698,53540,non functional
43,0.165765997461,0.0204885460429,0.813745456496,43291,non functional
44,0.821271554022,0.0147580233492,0.163970422629,8813,functional
45,0.156984697131,0.0265937290522,0.816421573817,62343,non functional
46,0.627297963546,0.048110030037,0.324592006417,1649,functional
47,0.748169854218,0.0818527034545,0.169977442327,8822,functional
48,0.497239945993,0.0822528340768,0.42050721993,10352,functional
49,0.680273956496,0.108834592437,0.210891451067,50878,functional
50,0.672405144469,0.157633488835,0.169961366696,15266,functional
51,0.619619932347,0.100337943953,0.2800421237,51956,functional
52,0.464703012107,0.0417263871038,0.493570600789,44099,non functional
53,0.283972625525,0.0670412824448,0.64898609203,59,non functional
54,0.307005189647,0.0427357028506,0.650259107502,51359,non functional
55,0.0200662896671,0.00191614774115,0.978017562592,15962,non functional
56,0.430927731952,0.293110030166,0.275962237883,17853,functional
57,0.311209786609,0.0846619205528,0.604128292838,42040,non functional
58,0.716899670204,0.0474671607374,0.235633169058,72243,functional
59,0.416184981559,0.081129091007,0.502685927434,63653,non functional
60,0.787297772712,0.0552224651853,0.157479762102,26510,functional
61,0.557051459429,0.172143366194,0.270805174377,72053,functional
62,0.777633083127,0.0300152611235,0.19235165575,29351,functional
63,0.0195712702472,0.0122854798968,0.968143249856,51897,non functional
64,0.705838422809,0.00801984763602,0.286141729555,20376,functional
65,0.868298048721,0.0339492017786,0.0977527495007,26804,functional
66,0.555191093109,0.0829994331176,0.361809473774,67303,functional
67,0.407925271781,0.0454393130347,0.546635415185,69780,non functional
68,0.713608663259,0.193742150472,0.0926491862689,45374,functional
69,0.693885453066,0.0267462989539,0.27936824798,54665,functional
70,0.133623771875,0.0313526289634,0.835023599161,39341,non functional
